student_id,name,email,college_id,department_id,skills
28,Student 28,student28@college.edu,2,Marketing,"Marketing, Excel, Taxation"
29,Student 29,student29@college.edu,1,Accounting,"Taxation, HR, Auditing"
30,Student 30,student30@college.edu,1,Marketing,"Power BI, Taxation, Marketing"
31,Student 31,student31@college.edu,1,Finance,"Excel, Taxation, Python"
32,Student 32,student32@college.edu,2,Business Analytics,"Python, Auditing, Power BI"
33,Student 33,student33@college.edu,1,HR,"Finance, Auditing, Data Analysis"
34,Student 34,student34@college.edu,2,Finance,"Accounting, Data Analysis, Finance"
35,Student 35,student35@college.edu,1,Business Analytics,"Data Analysis, Marketing, HR"
36,Student 36,student36@college.edu,1,Marketing,"Finance, Power BI, Accounting"
37,Student 37,student37@college.edu,2,Marketing,"Marketing, Auditing, Finance"
38,Student 38,student38@college.edu,1,HR,"Data Analysis, Power BI, Finance"
39,Student 39,student39@college.edu,2,Finance,"Excel, Finance, Data Analysis"
40,Student 40,student40@college.edu,1,Business Analytics,"Excel, Python, Power BI"
41,Student 41,student41@college.edu,2,Marketing,"Excel, Power BI, Taxation"
42,Student 42,student42@college.edu,2,Marketing,"Taxation, Python, Marketing"
43,Student 43,student43@college.edu,2,Accounting,"Data Analysis, HR, Auditing"
44,Student 44,student44@college.edu,1,Marketing,"Taxation, Data Analysis, Finance"
45,Student 45,student45@college.edu,1,Finance,"Auditing, Accounting, Excel"
46,Student 46,student46@college.edu,1,Finance,"Excel, HR, Auditing"
47,Student 47,student47@college.edu,2,Marketing,"Marketing, Finance, Auditing"
48,Student 48,student48@college.edu,1,Finance,"Marketing, Data Analysis, Finance"
49,Student 49,student49@college.edu,2,Marketing,"Power BI, Taxation, Python"
50,Student 50,student50@college.edu,1,Business Analytics,"Power BI, Excel, Python"
51,Student 51,student51@college.edu,1,Accounting,"Marketing, Python, Accounting"
52,Student 52,student52@college.edu,2,HR,"Accounting, Taxation, HR"
53,Student 53,student53@college.edu,1,Marketing,"Power BI, Python, Taxation"
54,Student 54,student54@college.edu,2,Accounting,"Taxation, Accounting, Marketing"
55,Student 55,student55@college.edu,1,Business Analytics,"Marketing, Taxation, Power BI"
56,Student 56,student56@college.edu,2,Business Analytics,"Power BI, Auditing, Taxation"
57,Student 57,student57@college.edu,2,Business Analytics,"Accounting, Python, Power BI"
58,Student 58,student58@college.edu,2,Finance,"Taxation, Data Analysis, Auditing"
59,Student 59,student59@college.edu,1,Accounting,"Auditing, Data Analysis, HR"
60,Student 60,student60@college.edu,1,Accounting,"Auditing, Taxation, Finance"
61,Student 61,student61@college.edu,2,Accounting,"Power BI, HR, Auditing"
62,Student 62,student62@college.edu,1,Finance,"Python, Excel, Marketing"
63,Student 63,student63@college.edu,2,Finance,"Power BI, Marketing, Excel"
64,Student 64,student64@college.edu,1,Marketing,"Excel, HR, Taxation"
65,Student 65,student65@college.edu,2,Finance,"Auditing, Python, Finance"
66,Student 66,student66@college.edu,1,Business Analytics,"Power BI, HR, Auditing"
67,Student 67,student67@college.edu,1,Finance,"Auditing, Power BI, Python"
68,Student 68,student68@college.edu,2,Finance,"Python, Marketing, Data Analysis"
69,Student 69,student69@college.edu,1,Marketing,"Python, Auditing, Power BI"
70,Student 70,student70@college.edu,2,Business Analytics,"Marketing, Excel, Auditing"
71,Student 71,student71@college.edu,1,Finance,"Data Analysis, Finance, Taxation"
72,Student 72,student72@college.edu,2,Accounting,"Auditing, HR, Marketing"
73,Student 73,student73@college.edu,2,Accounting,"Accounting, Python, Finance"
74,Student 74,student74@college.edu,2,Accounting,"Marketing, Python, Power BI"
75,Student 75,student75@college.edu,1,Accounting,"Power BI, Excel, Marketing"
76,Student 76,student76@college.edu,1,Business Analytics,"Excel, Finance, Python"
77,Student 77,student77@college.edu,1,Business Analytics,"Auditing, HR, Finance"
78,Student 78,student78@college.edu,2,Finance,"Auditing, Taxation, Power BI"
79,Student 79,student79@college.edu,1,Accounting,"HR, Python, Auditing"
80,Student 80,student80@college.edu,2,Finance,"Python, Accounting, Excel"
81,Student 81,student81@college.edu,1,Business Analytics,"Data Analysis, Taxation, Python"
82,Student 82,student82@college.edu,1,Marketing,"Taxation, Finance, HR"
83,Student 83,student83@college.edu,2,Accounting,"Auditing, Data Analysis, HR"
84,Student 84,student84@college.edu,1,Marketing,"Taxation, Marketing, Data Analysis"
85,Student 85,student85@college.edu,2,Finance,"Excel, Auditing, Finance"
86,Student 86,student86@college.edu,1,HR,"Power BI, HR, Taxation"
87,Student 87,student87@college.edu,2,Finance,"Data Analysis, Excel, Marketing"
88,Student 88,student88@college.edu,2,Finance,"Accounting, Excel, Taxation"
89,Student 89,student89@college.edu,2,Marketing,"Data Analysis, Finance, Taxation"
90,Student 90,student90@college.edu,1,Marketing,"Excel, Python, HR"
91,Student 91,student91@college.edu,1,Business Analytics,"Excel, Data Analysis, HR"
92,Student 92,student92@college.edu,1,Marketing,"Accounting, Python, Excel"
93,Student 93,student93@college.edu,2,Marketing,"Auditing, Finance, Python"
94,Student 94,student94@college.edu,1,Finance,"Taxation, Power BI, Python"
95,Student 95,student95@college.edu,2,Accounting,"Accounting, Finance, HR"
96,Student 96,student96@college.edu,1,Accounting,"Excel, Power BI, Python"
97,Student 97,student97@college.edu,1,Finance,"Accounting, Taxation, Auditing"
98,Student 98,student98@college.edu,2,HR,"Excel, HR, Marketing"
99,Student 99,student99@college.edu,1,HR,"Python, Accounting, Auditing"
100,Student 100,student100@college.edu,2,Finance,"Python, Data Analysis, Marketing"
101,Student 101,student101@college.edu,1,Finance,"Excel, Finance, Marketing"
102,Student 102,student102@college.edu,2,HR,"HR, Marketing, Accounting"
103,Student 103,student103@college.edu,2,Business Analytics,"Taxation, Auditing, Marketing"
104,Student 104,student104@college.edu,2,Accounting,"Auditing, Marketing, Data Analysis"
105,Student 105,student105@college.edu,1,Business Analytics,"Data Analysis, Power BI, Auditing"
106,Student 106,student106@college.edu,1,Business Analytics,"Taxation, Data Analysis, Power BI"
107,Student 107,student107@college.edu,1,Finance,"Data Analysis, HR, Finance"
108,Student 108,student108@college.edu,2,Business Analytics,"Excel, Power BI, Taxation"
109,Student 109,student109@college.edu,1,HR,"HR, Accounting, Data Analysis"
110,Student 110,student110@college.edu,2,Marketing,"Finance, Marketing, Accounting"
111,Student 111,student111@college.edu,1,Accounting,"Excel, Power BI, Data Analysis"
112,Student 112,student112@college.edu,1,HR,"Auditing, Taxation, Finance"
113,Student 113,student113@college.edu,2,Business Analytics,"Finance, HR, Auditing"
114,Student 114,student114@college.edu,1,Accounting,"Auditing, Power BI, Finance"
115,Student 115,student115@college.edu,2,HR,"Python, Accounting, Power BI"
116,Student 116,student116@college.edu,1,Business Analytics,"Auditing, Python, Taxation"
117,Student 117,student117@college.edu,2,Finance,"Marketing, Finance, Power BI"
118,Student 118,student118@college.edu,2,Business Analytics,"Marketing, Accounting, Auditing"
119,Student 119,student119@college.edu,2,HR,"Data Analysis, Python, Power BI"
120,Student 120,student120@college.edu,1,HR,"Marketing, Finance, Taxation"
121,Student 121,student121@college.edu,1,Marketing,"HR, Marketing, Python"
122,Student 122,student122@college.edu,2,HR,"Python, Accounting, Data Analysis"
123,Student 123,student123@college.edu,1,Finance,"Data Analysis, Marketing, Excel"
124,Student 124,student124@college.edu,2,Marketing,"Data Analysis, Taxation, HR"
125,Student 125,student125@college.edu,1,HR,"Finance, Power BI, Data Analysis"
126,Student 126,student126@college.edu,2,Marketing,"Python, Excel, Marketing"
127,Student 127,student127@college.edu,1,Business Analytics,"Data Analysis, HR, Power BI"
128,Student 128,student128@college.edu,1,Business Analytics,"Accounting, Excel, Power BI"
129,Student 129,student129@college.edu,2,Accounting,"HR, Python, Data Analysis"
130,Student 130,student130@college.edu,1,Accounting,"Taxation, HR, Marketing"
131,Student 131,student131@college.edu,2,Business Analytics,"HR, Auditing, Power BI"
132,Student 132,student132@college.edu,1,Finance,"Data Analysis, HR, Taxation"
133,Student 133,student133@college.edu,2,Finance,"Python, Accounting, Excel"
134,Student 134,student134@college.edu,2,Finance,"Power BI, Excel, Auditing"
135,Student 135,student135@college.edu,2,Marketing,"Data Analysis, Excel, Auditing"
136,Student 136,student136@college.edu,1,HR,"HR, Data Analysis, Power BI"
137,Student 137,student137@college.edu,1,Marketing,"Power BI, Accounting, Finance"
138,Student 138,student138@college.edu,1,Finance,"Marketing, Finance, HR"
139,Student 139,student139@college.edu,2,Business Analytics,"HR, Accounting, Data Analysis"
140,Student 140,student140@college.edu,1,Accounting,"Power BI, Excel, HR"
141,Student 141,student141@college.edu,2,Business Analytics,"Taxation, Auditing, Marketing"
142,Student 142,student142@college.edu,1,Marketing,"Accounting, Finance, Auditing"
143,Student 143,student143@college.edu,1,Accounting,"Excel, Accounting, Python"
144,Student 144,student144@college.edu,2,Business Analytics,"Finance, Excel, Power BI"
145,Student 145,student145@college.edu,1,Business Analytics,"Accounting, HR, Taxation"
146,Student 146,student146@college.edu,2,Business Analytics,"Power BI, Excel, Python"
147,Student 147,student147@college.edu,1,Business Analytics,"Power BI, Taxation, Python"
148,Student 148,student148@college.edu,2,Finance,"Python, HR, Taxation"
149,Student 149,student149@college.edu,2,Finance,"Marketing, Data Analysis, Power BI"
150,Student 150,student150@college.edu,2,Marketing,"HR, Python, Marketing"
151,Student 151,student151@college.edu,1,Finance,"Excel, Taxation, Finance"
152,Student 152,student152@college.edu,1,Business Analytics,"Taxation, Accounting, Auditing"
153,Student 153,student153@college.edu,1,Business Analytics,"Taxation, Data Analysis, Accounting"
154,Student 154,student154@college.edu,2,HR,"Accounting, Data Analysis, Python"
155,Student 155,student155@college.edu,1,HR,"Data Analysis, Accounting, Taxation"
156,Student 156,student156@college.edu,2,Accounting,"HR, Marketing, Accounting"
157,Student 157,student157@college.edu,1,HR,"HR, Power BI, Excel"
158,Student 158,student158@college.edu,1,HR,"Power BI, Finance, HR"
159,Student 159,student159@college.edu,2,Marketing,"Taxation, Auditing, HR"
160,Student 160,student160@college.edu,1,HR,"Data Analysis, Marketing, Auditing"
161,Student 161,student161@college.edu,2,HR,"Python, Taxation, Marketing"
162,Student 162,student162@college.edu,1,Business Analytics,"Taxation, Python, Finance"
163,Student 163,student163@college.edu,2,Business Analytics,"Data Analysis, Python, Accounting"
164,Student 164,student164@college.edu,2,Finance,"Finance, Auditing, HR"
165,Student 165,student165@college.edu,2,Marketing,"Auditing, Accounting, HR"
166,Student 166,student166@college.edu,1,HR,"Excel, HR, Python"
167,Student 167,student167@college.edu,1,Marketing,"Excel, Auditing, Power BI"
168,Student 168,student168@college.edu,1,Accounting,"Excel, Power BI, Finance"
169,Student 169,student169@college.edu,2,Finance,"Auditing, Data Analysis, Taxation"
170,Student 170,student170@college.edu,1,HR,"Excel, Marketing, Finance"
171,Student 171,student171@college.edu,2,Business Analytics,"Data Analysis, Accounting, Taxation"
172,Student 172,student172@college.edu,1,Finance,"Accounting, Excel, Finance"
173,Student 173,student173@college.edu,1,Business Analytics,"Taxation, Finance, Auditing"
174,Student 174,student174@college.edu,2,Finance,"Taxation, Marketing, Auditing"
175,Student 175,student175@college.edu,1,Business Analytics,"Taxation, Excel, Data Analysis"
176,Student 176,student176@college.edu,2,Accounting,"Accounting, Finance, Data Analysis"
177,Student 177,student177@college.edu,1,Business Analytics,"Accounting, Finance, Power BI"
178,Student 178,student178@college.edu,2,Accounting,"Data Analysis, Auditing, Marketing"
179,Student 179,student179@college.edu,2,HR,"Python, Power BI, Auditing"
180,Student 180,student180@college.edu,2,Accounting,"Taxation, Auditing, Finance"
181,Student 181,student181@college.edu,1,HR,"Finance, Taxation, Excel"
182,Student 182,student182@college.edu,1,HR,"Excel, Accounting, Taxation"
183,Student 183,student183@college.edu,2,HR,"Auditing, Finance, Python"
184,Student 184,student184@college.edu,1,Marketing,"Python, Marketing, Power BI"
185,Student 185,student185@college.edu,2,Business Analytics,"Python, Accounting, Taxation"
186,Student 186,student186@college.edu,1,Accounting,"Power BI, Accounting, Finance"
187,Student 187,student187@college.edu,2,Finance,"Power BI, Auditing, Python"
188,Student 188,student188@college.edu,1,Business Analytics,"Marketing, Excel, Python"
189,Student 189,student189@college.edu,1,Accounting,"Excel, Python, Data Analysis"
190,Student 190,student190@college.edu,2,Accounting,"Data Analysis, Marketing, Accounting"
191,Student 191,student191@college.edu,1,Marketing,"Finance, Power BI, Auditing"
192,Student 192,student192@college.edu,2,Accounting,"Python, Marketing, Power BI"
193,Student 193,student193@college.edu,1,Accounting,"Taxation, Power BI, Finance"
194,Student 194,student194@college.edu,2,Marketing,"Data Analysis, HR, Power BI"
195,Student 195,student195@college.edu,2,HR,"Excel, HR, Python"
196,Student 196,student196@college.edu,2,Accounting,"Python, Auditing, Accounting"
197,Student 197,student197@college.edu,1,Marketing,"Taxation, Accounting, Power BI"
198,Student 198,student198@college.edu,1,Marketing,"Excel, HR, Power BI"
199,Student 199,student199@college.edu,1,HR,"Marketing, Data Analysis, Accounting"
200,Student 200,student200@college.edu,2,Marketing,"HR, Python, Taxation"
201,Student 201,student201@college.edu,1,HR,"Taxation, Python, Auditing"
202,Student 202,student202@college.edu,2,HR,"Marketing, Excel, Data Analysis"
203,Student 203,student203@college.edu,1,Business Analytics,"Data Analysis, HR, Accounting"
204,Student 204,student204@college.edu,1,Accounting,"Auditing, Finance, Python"
205,Student 205,student205@college.edu,2,Finance,"Power BI, Accounting, Finance"
206,Student 206,student206@college.edu,1,Marketing,"Data Analysis, Excel, Auditing"
207,Student 207,student207@college.edu,2,Accounting,"Excel, Python, Power BI"
208,Student 208,student208@college.edu,1,Marketing,"Python, Marketing, Auditing"
209,Student 209,student209@college.edu,2,HR,"Finance, Power BI, Excel"
210,Student 210,student210@college.edu,2,Accounting,"Finance, HR, Data Analysis"
211,Student 211,student211@college.edu,2,Marketing,"Finance, Data Analysis, Power BI"
212,Student 212,student212@college.edu,1,Business Analytics,"HR, Excel, Power BI"
213,Student 213,student213@college.edu,1,Finance,"Data Analysis, Auditing, Python"
214,Student 214,student214@college.edu,1,Business Analytics,"Taxation, Finance, Data Analysis"
215,Student 215,student215@college.edu,2,HR,"Finance, Marketing, Python"
216,Student 216,student216@college.edu,1,HR,"Python, Taxation, Auditing"
217,Student 217,student217@college.edu,2,Marketing,"Taxation, Python, Accounting"
218,Student 218,student218@college.edu,1,Finance,"Accounting, Power BI, Data Analysis"
219,Student 219,student219@college.edu,1,Business Analytics,"Marketing, Accounting, HR"
220,Student 220,student220@college.edu,2,Finance,"Auditing, HR, Excel"
221,Student 221,student221@college.edu,1,Marketing,"Excel, Finance, Auditing"
222,Student 222,student222@college.edu,2,Accounting,"Accounting, Marketing, Taxation"
223,Student 223,student223@college.edu,1,Finance,"Python, Power BI, Excel"
224,Student 224,student224@college.edu,2,HR,"Python, Data Analysis, Auditing"
225,Student 225,student225@college.edu,2,Business Analytics,"Taxation, Python, HR"
226,Student 226,student226@college.edu,2,Accounting,"Data Analysis, Python, Accounting"
227,Student 227,student227@college.edu,1,HR,"Python, Finance, Accounting"
228,Student 228,student228@college.edu,1,Marketing,"Marketing, Data Analysis, Excel"
229,Student 229,student229@college.edu,1,HR,"Python, Marketing, HR"
230,Student 230,student230@college.edu,2,Finance,"HR, Data Analysis, Accounting"
231,Student 231,student231@college.edu,1,Accounting,"Excel, HR, Data Analysis"
232,Student 232,student232@college.edu,2,Finance,"Excel, Taxation, Auditing"
233,Student 233,student233@college.edu,1,Accounting,"HR, Excel, Auditing"
234,Student 234,student234@college.edu,1,Business Analytics,"Data Analysis, Excel, Accounting"
235,Student 235,student235@college.edu,2,Finance,"Python, HR, Taxation"
236,Student 236,student236@college.edu,1,Marketing,"Data Analysis, HR, Taxation"
237,Student 237,student237@college.edu,2,Business Analytics,"Auditing, Data Analysis, Python"
238,Student 238,student238@college.edu,1,Marketing,"Marketing, Accounting, Power BI"
239,Student 239,student239@college.edu,2,Business Analytics,"Finance, Excel, Accounting"
240,Student 240,student240@college.edu,2,Finance,"Finance, Accounting, Python"
241,Student 241,student241@college.edu,2,Business Analytics,"Power BI, Accounting, Python"
242,Student 242,student242@college.edu,1,Marketing,"Finance, Marketing, Python"
243,Student 243,student243@college.edu,1,Marketing,"Data Analysis, Python, Finance"
244,Student 244,student244@college.edu,2,Marketing,"Taxation, Marketing, Power BI"
245,Student 245,student245@college.edu,1,Business Analytics,"Data Analysis, Auditing, Marketing"
246,Student 246,student246@college.edu,2,Marketing,"HR, Accounting, Marketing"
247,Student 247,student247@college.edu,1,Business Analytics,"Data Analysis, Excel, Power BI"
248,Student 248,student248@college.edu,2,Accounting,"Marketing, Taxation, HR"
249,Student 249,student249@college.edu,1,HR,"Data Analysis, Taxation, Accounting"
250,Student 250,student250@college.edu,1,Business Analytics,"Taxation, Auditing, Python"
251,Student 251,student251@college.edu,2,Marketing,"Excel, Finance, Accounting"
252,Student 252,student252@college.edu,1,Finance,"Python, Finance, Taxation"
253,Student 253,student253@college.edu,2,Marketing,"Accounting, Python, HR"
254,Student 254,student254@college.edu,1,HR,"Power BI, Data Analysis, Marketing"
255,Student 255,student255@college.edu,2,Business Analytics,"Python, Taxation, Marketing"
256,Student 256,student256@college.edu,2,Accounting,"Accounting, Marketing, Auditing"
257,Student 257,student257@college.edu,2,Finance,"Auditing, Finance, Python"
258,Student 258,student258@college.edu,1,Business Analytics,"Data Analysis, Taxation, Excel"
259,Student 259,student259@college.edu,1,HR,"HR, Marketing, Excel"
260,Student 260,student260@college.edu,1,Marketing,"Excel, Accounting, Finance"
261,Student 261,student261@college.edu,2,Business Analytics,"Excel, Python, Accounting"
262,Student 262,student262@college.edu,1,Finance,"Taxation, Data Analysis, Accounting"
263,Student 263,student263@college.edu,2,Accounting,"Data Analysis, Taxation, Python"
264,Student 264,student264@college.edu,1,Marketing,"Auditing, Accounting, Finance"
265,Student 265,student265@college.edu,1,HR,"Accounting, Excel, Power BI"
266,Student 266,student266@college.edu,2,Accounting,"Finance, Auditing, Taxation"
267,Student 267,student267@college.edu,1,Marketing,"Accounting, Taxation, Finance"
268,Student 268,student268@college.edu,2,Marketing,"Auditing, Data Analysis, Marketing"
269,Student 269,student269@college.edu,1,Marketing,"Finance, Marketing, Excel"
270,Student 270,student270@college.edu,2,Accounting,"Taxation, Python, Excel"
271,Student 271,student271@college.edu,2,Finance,"Finance, Marketing, Excel"
272,Student 272,student272@college.edu,2,HR,"HR, Finance, Python"
273,Student 273,student273@college.edu,1,Marketing,"Accounting, Auditing, Finance"
274,Student 274,student274@college.edu,1,Marketing,"Excel, Taxation, Data Analysis"
275,Student 275,student275@college.edu,1,Business Analytics,"HR, Power BI, Python"
276,Student 276,student276@college.edu,2,HR,"Taxation, Finance, Accounting"
277,Student 277,student277@college.edu,1,Accounting,"Data Analysis, Accounting, Python"
278,Student 278,student278@college.edu,2,Marketing,"Finance, Marketing, Excel"
279,Student 279,student279@college.edu,1,Finance,"Finance, Python, Data Analysis"
280,Student 280,student280@college.edu,1,Finance,"Accounting, Marketing, Data Analysis"
281,Student 281,student281@college.edu,2,Finance,"Auditing, Taxation, Python"
282,Student 282,student282@college.edu,1,Accounting,"Accounting, Power BI, Data Analysis"
283,Student 283,student283@college.edu,2,Accounting,"Auditing, HR, Power BI"
284,Student 284,student284@college.edu,1,Business Analytics,"Marketing, Accounting, Python"
285,Student 285,student285@college.edu,2,Business Analytics,"Power BI, Taxation, Accounting"
286,Student 286,student286@college.edu,2,HR,"Taxation, Data Analysis, Finance"
287,Student 287,student287@college.edu,2,Marketing,"Excel, Auditing, Accounting"
288,Student 288,student288@college.edu,1,HR,"Python, Finance, Data Analysis"
289,Student 289,student289@college.edu,1,Marketing,"Power BI, Excel, Marketing"
290,Student 290,student290@college.edu,1,HR,"Finance, Accounting, Power BI"
291,Student 291,student291@college.edu,2,Marketing,"Auditing, Marketing, Taxation"
292,Student 292,student292@college.edu,1,Finance,"Power BI, Python, HR"
293,Student 293,student293@college.edu,2,Marketing,"Finance, Auditing, Data Analysis"
294,Student 294,student294@college.edu,1,Marketing,"HR, Excel, Finance"
295,Student 295,student295@college.edu,1,HR,"Auditing, Marketing, Excel"
296,Student 296,student296@college.edu,2,Business Analytics,"Accounting, HR, Data Analysis"
297,Student 297,student297@college.edu,1,Accounting,"Data Analysis, Power BI, Python"
298,Student 298,student298@college.edu,2,Accounting,"Power BI, Accounting, Finance"
299,Student 299,student299@college.edu,1,Finance,"HR, Marketing, Finance"
300,Student 300,student300@college.edu,2,Marketing,"Power BI, Taxation, Excel"
301,Student 301,student301@college.edu,2,Accounting,"Power BI, Auditing, HR"
302,Student 302,student302@college.edu,2,Finance,"Power BI, Marketing, Python"
303,Student 303,student303@college.edu,1,Business Analytics,"Taxation, Power BI, Data Analysis"
304,Student 304,student304@college.edu,1,Finance,"Auditing, Marketing, Python"
305,Student 305,student305@college.edu,2,Accounting,"Power BI, HR, Finance"
306,Student 306,student306@college.edu,1,Finance,"Auditing, Taxation, Marketing"
307,Student 307,student307@college.edu,2,Finance,"Finance, Auditing, HR"
308,Student 308,student308@college.edu,1,HR,"Python, Marketing, Auditing"
309,Student 309,student309@college.edu,2,Accounting,"Accounting, Data Analysis, Finance"
310,Student 310,student310@college.edu,1,Marketing,"HR, Excel, Accounting"
311,Student 311,student311@college.edu,1,Finance,"Python, HR, Taxation"
312,Student 312,student312@college.edu,2,Marketing,"Taxation, HR, Marketing"
313,Student 313,student313@college.edu,1,Business Analytics,"Data Analysis, Taxation, Excel"
314,Student 314,student314@college.edu,2,Marketing,"Power BI, Auditing, Excel"
315,Student 315,student315@college.edu,1,Business Analytics,"Data Analysis, Python, Excel"
316,Student 316,student316@college.edu,2,Accounting,"Data Analysis, Excel, Auditing"
317,Student 317,student317@college.edu,2,Marketing,"Power BI, Python, Data Analysis"
318,Student 318,student318@college.edu,2,Business Analytics,"Taxation, Finance, Marketing"
319,Student 319,student319@college.edu,1,Finance,"Data Analysis, Taxation, Auditing"
320,Student 320,student320@college.edu,1,Business Analytics,"Python, Finance, Excel"
321,Student 321,student321@college.edu,1,Business Analytics,"Taxation, Python, Data Analysis"
322,Student 322,student322@college.edu,2,Finance,"Accounting, Data Analysis, Taxation"
323,Student 323,student323@college.edu,1,Business Analytics,"Taxation, Auditing, HR"
324,Student 324,student324@college.edu,2,Accounting,"Finance, Power BI, HR"
325,Student 325,student325@college.edu,1,HR,"HR, Data Analysis, Power BI"
326,Student 326,student326@college.edu,1,Marketing,"Accounting, HR, Finance"
327,Student 327,student327@college.edu,2,Finance,"HR, Python, Data Analysis"
328,Student 328,student328@college.edu,1,Business Analytics,"Data Analysis, Excel, Power BI"
329,Student 329,student329@college.edu,2,HR,"Taxation, Auditing, Data Analysis"
330,Student 330,student330@college.edu,1,Marketing,"Accounting, Python, Auditing"
331,Student 331,student331@college.edu,2,Finance,"Marketing, Power BI, Taxation"
332,Student 332,student332@college.edu,2,Finance,"Accounting, Taxation, Finance"
333,Student 333,student333@college.edu,2,HR,"Accounting, Data Analysis, Excel"
334,Student 334,student334@college.edu,1,Marketing,"HR, Marketing, Finance"
335,Student 335,student335@college.edu,1,Accounting,"Marketing, Auditing, Excel"
336,Student 336,student336@college.edu,1,Business Analytics,"Power BI, Taxation, Auditing"
337,Student 337,student337@college.edu,2,Business Analytics,"Auditing, Finance, Data Analysis"
338,Student 338,student338@college.edu,1,Accounting,"Excel, Data Analysis, Accounting"
339,Student 339,student339@college.edu,2,Marketing,"Excel, Accounting, Python"
340,Student 340,student340@college.edu,1,Marketing,"Excel, Power BI, HR"
341,Student 341,student341@college.edu,1,Marketing,"Taxation, Accounting, Finance"
342,Student 342,student342@college.edu,2,Accounting,"Accounting, Excel, Auditing"
343,Student 343,student343@college.edu,1,Accounting,"Accounting, Marketing, Excel"
344,Student 344,student344@college.edu,2,Marketing,"Python, Auditing, Accounting"
345,Student 345,student345@college.edu,1,Accounting,"Finance, Auditing, Excel"
346,Student 346,student346@college.edu,2,HR,"Power BI, Taxation, Marketing"
347,Student 347,student347@college.edu,2,Accounting,"HR, Python, Accounting"
348,Student 348,student348@college.edu,2,Accounting,"Python, Auditing, Data Analysis"
349,Student 349,student349@college.edu,1,Finance,"Taxation, Finance, Python"
350,Student 350,student350@college.edu,1,Finance,"Accounting, Auditing, Excel"
351,Student 351,student351@college.edu,1,Accounting,"HR, Auditing, Taxation"
352,Student 352,student352@college.edu,2,Finance,"Finance, Accounting, Marketing"
353,Student 353,student353@college.edu,1,Finance,"Marketing, Excel, Taxation"
354,Student 354,student354@college.edu,2,Marketing,"Auditing, HR, Power BI"
355,Student 355,student355@college.edu,1,Business Analytics,"Marketing, Taxation, Finance"
356,Student 356,student356@college.edu,1,Accounting,"Taxation, Python, Marketing"
357,Student 357,student357@college.edu,2,HR,"Excel, Finance, Marketing"
358,Student 358,student358@college.edu,1,Finance,"HR, Finance, Accounting"
359,Student 359,student359@college.edu,2,Finance,"Finance, Marketing, Taxation"
360,Student 360,student360@college.edu,1,Finance,"Python, Finance, Excel"
361,Student 361,student361@college.edu,2,Accounting,"Accounting, Excel, Data Analysis"
362,Student 362,student362@college.edu,2,Business Analytics,"Taxation, Accounting, Finance"
363,Student 363,student363@college.edu,2,Accounting,"HR, Python, Accounting"
364,Student 364,student364@college.edu,1,Business Analytics,"Data Analysis, Excel, Python"
365,Student 365,student365@college.edu,1,Business Analytics,"Excel, Taxation, Accounting"
366,Student 366,student366@college.edu,2,Marketing,"Data Analysis, Accounting, Auditing"
367,Student 367,student367@college.edu,1,Accounting,"Auditing, Taxation, Finance"
368,Student 368,student368@college.edu,2,Accounting,"Power BI, Finance, Taxation"
369,Student 369,student369@college.edu,1,Finance,"HR, Power BI, Excel"
370,Student 370,student370@college.edu,2,Accounting,"Data Analysis, Taxation, Excel"
